antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['Experience_Category_Entry', 'Education_Category_High School', 'Job_Group_Marketing_Sales']",['Salary_Category_Low'],0.03596423017107309,0.33748055987558323,0.03596423017107309,1.0,2.963133640552995,1.0,0.023827001637445003,inf,0.6872353297035693,0.10656682027649768,1.0,0.5532834101382489
"['Experience_Category_Entry', 'Job_Group_Marketing_Sales']",['Salary_Category_Low'],0.04432348367029549,0.33748055987558323,0.04432348367029549,1.0,2.963133640552995,1.0,0.0293651695856079,inf,0.693246541903987,0.1313364055299539,1.0,0.565668202764977
"['Experience_Category_Entry', 'Education_Category_High School']",['Salary_Category_Low'],0.05559875583203733,0.33748055987558323,0.05559875583203733,1.0,2.963133640552995,1.0,0.03683525658545552,inf,0.7015232606010703,0.16474654377880185,1.0,0.5823732718894009
"['Education_Category_High School', 'Job_Group_Marketing_Sales']",['Salary_Category_Low'],0.04101866251944013,0.33748055987558323,0.04101866251944013,1.0,2.963133640552995,1.0,0.02717566132703187,inf,0.6908574903709709,0.12154377880184332,1.0,0.5607718894009217
['Education_Category_High School'],['Salary_Category_Low'],0.06531881804043546,0.33748055987558323,0.06318040435458787,0.9672619047619048,2.866126289225367,1.0,0.041136573071890364,20.23695744380037,0.6965979777294253,0.18603319977103602,0.9505854571875698,0.5772369431643625
"['Experience_Category_Entry', 'Country_USA']",['Salary_Category_Low'],0.04296267496111975,0.33748055987558323,0.03926905132192846,0.9140271493212669,2.708384594532602,1.0,0.024769983722297065,7.706147171973477,0.6590926003020777,0.1150997150997151,0.8702334671680156,0.5151932981629376
"['Country_Canada', 'Experience_Category_Entry']",['Salary_Category_Low'],0.03363141524105754,0.33748055987558323,0.030715396578538102,0.9132947976878614,2.706214538770944,1.0,0.019365447733577783,7.641057542768282,0.6524220224135429,0.09023415191319245,0.8691280631767485,0.502154311286327
"['Experience_Category_Entry', 'Country_Australia']",['Salary_Category_Low'],0.04121306376360809,0.33748055987558323,0.03732503888024884,0.9056603773584906,2.6835927310668635,1.0,0.02341643104711827,7.022706065318819,0.6543322519599892,0.10933940774487472,0.8576047479847639,0.5081297278497522
"['Education_Category_Bachelor', 'Experience_Category_Entry', 'Country_Australia']",['Salary_Category_Low'],0.024494556765163298,0.33748055987558323,0.022161741835147745,0.9047619047619048,2.6809304366908053,1.0,0.01389530510413618,6.956454121306376,0.6427387719997483,0.06521739130434781,0.8562486027274759,0.4852150537634409
"['Country_Canada', 'Experience_Category_Senior', 'Education_Category_PhD', 'Job_Group_Tech']",['Salary_Category_High'],0.028188180404354588,0.3318429237947123,0.025272161741835147,0.8965517241379309,2.7017352483687853,1.0,0.015918113540001305,6.458851736651109,0.6481373197716466,0.07549361207897792,0.8451737180580495,0.486354362361877
"['Experience_Category_Senior', 'Education_Category_PhD', 'Job_Group_Tech', 'Country_UK']",['Salary_Category_High'],0.031493001555209954,0.3318429237947123,0.028188180404354588,0.8950617283950617,2.6972451850405372,1.0,0.017737450689202294,6.367143902662153,0.6497127590359778,0.08410672853828306,0.8429437098819311,0.4900030376011629
['Experience_Category_Entry'],['Salary_Category_Low'],0.18818040435458788,0.33748055987558323,0.16815707620528772,0.893595041322314,2.6478415279734926,1.0,0.10464984798608776,6.226396291654712,0.7665913671295372,0.4703643284393693,0.8393934543902534,0.6959334653616178
"['Experience_Category_Senior', 'Education_Category_PhD', 'Country_China', 'Job_Group_Tech']",['Salary_Category_High'],0.029937791601866253,0.3318429237947123,0.026632970451010887,0.8896103896103896,2.6808177177245716,1.0,0.016698326153890806,6.052717043271431,0.6463291546596842,0.07946635730858467,0.8347849415641093,0.4849340758831093
"['Job_Group_Tech', 'Education_Category_PhD', 'Experience_Category_Senior']",['Salary_Category_High'],0.14910575427682737,0.3318429237947123,0.13238724727838258,0.8878748370273793,2.675587675260011,1.0,0.08290755782454426,5.959028807551808,0.7359907969069394,0.3798103736754043,0.8321874197465344,0.6434101777404032
"['Country_Canada', 'Job_Group_Tech', 'Education_Category_PhD']",['Salary_Category_High'],0.028771384136858476,0.3318429237947123,0.02546656298600311,0.8851351351351351,2.66733165502937,1.0,0.01591898275240719,5.816896898728385,0.6436110720637579,0.07598607888631091,0.8280870337896814,0.4809389794011938
"['Experience_Category_Senior', 'Education_Category_PhD', 'Job_Group_Tech', 'Country_Australia']",['Salary_Category_High'],0.031493001555209954,0.3318429237947123,0.027799377916018664,0.8827160493827161,2.660041803177909,1.0,0.017348648200866373,5.696918228697719,0.644358852708913,0.0828505214368482,0.8244664992798053,0.4832443750135607
"['Education_Category_Bachelor', 'Country_USA', 'Experience_Category_Entry']",['Salary_Category_Low'],0.025660964230171075,0.33748055987558323,0.02255054432348367,0.8787878787878787,2.603965926546571,1.0,0.01389046774813822,5.465785381026433,0.6321930814321489,0.06621004566210045,0.8170436761986056,0.47280407764278726
"['Country_USA', 'Education_Category_PhD', 'Experience_Category_Senior', 'Job_Group_Tech']",['Salary_Category_High'],0.027993779160186624,0.3318429237947123,0.024494556765163298,0.8750000000000001,2.636789689513767,1.0,0.015205019240583482,5.345256609642306,0.6386285714285714,0.07304347826086957,0.8129182426534769,0.4744068541300528
"['Experience_Category_Entry', 'Country_China']",['Salary_Category_Low'],0.03382581648522551,0.33748055987558323,0.029354587869362365,0.867816091954023,2.571455055882197,1.0,0.017939032383679727,5.012103590506457,0.6325102935493757,0.08584422967595223,0.8004829744752037,0.4773988293871497
"['Education_Category_Bachelor', 'Experience_Category_Entry']",['Salary_Category_Low'],0.11139191290824262,0.33748055987558323,0.09661741835147745,0.8673647469458988,2.5701176603051286,1.0,0.05902481321759153,4.995047884095934,0.687494030030104,0.2742825607064018,0.7998017189817205,0.576827534763272
"['Job_Group_Tech', 'Education_Category_PhD', 'Country_China']",['Salary_Category_High'],0.031298600311041994,0.3318429237947123,0.02702177293934681,0.8633540372670807,2.6016948844181975,1.0,0.016635553901448545,4.889694966775059,0.635526256899357,0.0803932909196067,0.7954882652609436,0.4723917227928842
"['Experience_Category_Entry', 'Country_UK']",['Salary_Category_Low'],0.03654743390357698,0.33748055987558323,0.031493001555209954,0.8617021276595745,2.553338562604177,1.0,0.01915895309941492,4.790525182438093,0.6314331549736445,0.09194097616345062,0.7912546199180902,0.4775100500049025
